,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Expectations Survey1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
for periods indicated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,,,,,2008,,,,,2009,,,,,2010,,,,,2011,,,,,2012,,,,,2013,,,,,2014,,,,,2015,,,,,2016,,,,,2017,,,,,2018,,,,,2019,,,,,2020,,,,,2021,,,,,2022,,,,,2023,,,,,2024,,,,,2025,,,
,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Percentage of the type of house and/or lot households intend to buy in the next 12 months2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single detached,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,75.1,40.4,42.5,,35.9,43.2,33.4,38.4,,43.7,-,32.6,41.8,,34.0,38.7,42.6,39.4,,52.1,33.4,28.5,33.8,,49.7,55.6,30.1,47.5,,56.2,47.0,31.7,48.2,,38.0,39.0,42.5,
Residential lot,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,1.6,31.7,24.7,,34.3,28.3,30.8,24.5,,21.2,-,33.2,20.5,,32.8,30.1,21.3,31.5,,18.8,32.3,47.4,39.1,,17.3,15.5,49.5,24.9,,25.7,24.2,30.9,25.7,,24.3,20.4,14.0,
Additional types,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,23.3,27.9,32.8,,29.8,28.5,35.7,37.1,,35.3,-,34.2,37.8,,33.2,31.1,36.2,29.0,,29.1,34.3,24.1,27.1,,33.0,28.9,20.4,27.6,,18.1,28.7,37.4,26.1,,37.7,40.6,43.5,
,Duplex,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,7.6,8.6,5.8,,5.2,3.0,3.8,1.3,,4.8,-,2.0,5.6,,0.5,1.6,7.9,5.4,,4.1,9.1,0.9,3.2,,3.8,2.9,3.4,7.4,,4.5,3.2,4.5,4.1,,3.6,3.9,9.8,
,Townhouse,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,3.3,4.1,5.4,,3.8,5.1,6.5,4.6,,6.6,-,4.1,6.1,,6.2,2.1,1.8,2.8,,3.7,4.9,3.5,1.7,,2.1,1.5,0.8,1.8,,2.2,2.7,6.0,1.6,,1.9,2.8,4.4,
